PFT Group	Crop	PlantStage	Season	MINN	MAXN	Unit	Source	Notes
row	Alfalfa	starter		20	40	lbs N/acre	CDFA-FREP & UC Davis	when the residual nitrate concentration is below 3-4 ppm NO3-N (15 ppm NO3)
row	Alfalfa			0	0	lbs N/acre	Meyer et al. 2007. Pub. 8292	From Meyer et al 2007 ""Seldom: Less than 1% of the acreage shows need for fertilization.""
woody	Almonds	year 1		30	30	lbs N/acre	Brown et al. 2020 NBMP Table 2	
woody	Almonds	year 2		55	55	lbs N/acre	Brown et al. 2020 NBMP Table 2	
woody	Almonds	year 3		116	116	lbs N/acre	Brown et al. 2020 NBMP Table 2	
woody	Almonds	year 4		174	174	lbs N/acre	Brown et al. 2020 NBMP Table 2	
woody	Almonds	year 5		232	232	lbs N/acre	Brown et al. 2020 NBMP Table 2	
woody	Almonds	year 6		237	237	lbs N/acre	Brown et al. 2020 NBMP Table 2	
woody	Almonds	years 7-15		210	255	lbs N/acre	Brown et al. 2020 NBMP Table 2	
woody	Almonds	years 16-25		152	220	lbs N/acre	Brown et al. 2020 NBMP Table 2	
woody	Avocado			67	100	lbs N/acre	Rosenstock et al., 2013	
row	Barley	preplant	fall	25	100	lbs N/acre	CDFA-FREP & UC Davis	
row	Barley	starter		0	30	lbs N/acre	CDFA-FREP & UC Davis	
row	Barley	topdress	spring	30	100	lbs N/acre	CDFA-FREP & UC Davis	
row	Barley	foliar		10	20	lbs N/acre	CDFA-FREP & UC Davis	
row	Bean, blackeye	preplant		0	0	lbs N/acre	CDFA-FREP & UC Davis	
row	Bean, blackeye	starter		0	8	lbs N/acre	CDFA-FREP & UC Davis	small amount
row	Bean, blackeye	sidedress		0	0	lbs N/acre	CDFA-FREP & UC Davis	
row	Bean, common	preplant			200	lbs N/acre	CDFA-FREP & UC Davis	
row	Bean, common	sidedress		70	100	lbs N/acre	CDFA-FREP & UC Davis	
row	Bean, dry			86	116	lbs N/acre	Rosenstock et al., 2013	
row	Bean, dry	foliar		0	0	lbs N/acre	CDFA-FREP & UC Davis	
row	Bean, lima	starter		0	8	lbs N/acre	CDFA-FREP & UC Davis	
row	Bean, lima	preplant			100	lbs N/acre	CDFA-FREP & UC Davis	
row	Bean, lima	sidedress		55	125	lbs N/acre	CDFA-FREP & UC Davis	
row	Broccoli			100	200	lbs N/acre	Rosenstock et al., 2013	
row	Broccoli	preplant		20	30	lbs N/acre	CDFA-FREP & UC Davis	
row	Broccoli	starter		20	30	lbs N/acre	CDFA-FREP & UC Davis	
row	Broccoli		winter	180	240	lbs N/acre	CDFA-FREP & UC Davis	
row	Broccoli		spring	180	240	lbs N/acre	CDFA-FREP & UC Davis	
row	Broccoli		summer	150	180	lbs N/acre	CDFA-FREP & UC Davis	
row	Broccoli		fall	150	180	lbs N/acre	CDFA-FREP & UC Davis	
row	Carrot			100	250	lbs N/acre	Rosenstock et al., 2013	
row	Carrot	preplant		40	50	lbs N/acre	CDFA-FREP & UC Davis	
row	Carrot	sidedress		60	80	lbs N/acre	CDFA-FREP & UC Davis	
row	Carrot	in-season			150	lbs N/acre	CDFA-FREP & UC Davis	
row	Cauliflower	preplant		20	30	lbs N/acre	CDFA-FREP & UC Davis	
row	Cauliflower	preplant	fall	0	0	lbs N/acre	CDFA-FREP & UC Davis	
row	Cauliflower	starter		20	30	lbs N/acre	CDFA-FREP & UC Davis	
row	Celery			200	275	lbs N/acre	Rosenstock et al., 2013	
row	Celery	preplant		20	30	lbs N/acre	CDFA-FREP & UC Davis	
