num;is_tropical;is_grass;include_pft;include_pft_ag;include_pft_fp;clumping_factor;orient_factor;leaf_emiss_tir;wood_emiss_tir;leaf_reflect_vis;leaf_reflect_nir;wood_reflect_vis;wood_reflect_nir;leaf_trans_vis;leaf_trans_nir;wood_trans_vis;wood_trans_nir;leaf_backscatter_vis;leaf_backscatter_nir;leaf_backscatter_tir;wood_backscatter_vis;wood_backscatter_nir;wood_backscatter_tir;leaf_scatter_vis;leaf_scatter_nir;wood_scatter_vis;wood_scatter_nir;phi1;phi2;mu_bar;photosyn_pathway;quantum_efficiency;Vm0;Vm_low_temp;Vm_high_temp;Vm_decay_e;Vm_decay_a;Vm_decay_b;vm_hor;vm_q10;dark_respiration_factor;Rd_low_temp;Rd_high_temp;Rd_decay_e;Rd_hor;Rd_q10;Rd0;D0;stomatal_slope;cuticular_cond;water_conductance;leaf_width;growth_resp_factor;leaf_turnover_rate;root_turnover_rate;storage_turnover_rate;f_labile;root_respiration_factor;rrf_low_temp;rrf_high_temp;rrf_decay_e;rrf_hor;rrf_q10;frost_mort;mort0;mort1;mort2;mort3;cbr_severe_stress;seedling_mortality;treefall_s_gt;treefall_s_lt;fire_s_gt;fire_s_lt;plant_min_temp;rho;SLA;horiz_branch;q;sapwood_ratio;qsw;init_density;b1Ht;b2Ht;hgt_ref;hgt_min;hgt_max;min_dbh;dbh_crit;dbh_adult;dbh_bigleaf;b1Bl_small;b1Bl_large;b2Bl_small;b2Bl_large;bleaf_adult;b1Bs_small;b1Bs_large;b2Bs_small;b2Bs_large;min_bdead;bdead_crit;b1Ca;b2Ca;b1WAI;b2WAI;brf_wd;agf_bs;b1Vol;b2Vol;b1Rd;b2Rd;c2n_leaf;c2n_recruit;phenology;c_grn_leaf_dry;wat_dry_ratio_grn;wat_dry_ratio_ngrn;c_ngrn_biom_dry;delta_c;b1Cl;b2Cl;r_fract;st_fract;nonlocal_dispersal;repro_min_h;one_plant_c;min_recruit_size;min_cohort_size;seed_rain;negligible_nplant;veg_hcap_min
1;1;1;1;0;0;1.00000000000000000000;0.0000000000;0.95999999999999996447;0.95999999999999996447;0.10000000149011611938;0.10000000149011611938;0.10000000149011611938;0.10000000149011611938;0.10000000149011611938;0.10000000149011611938;0.10000000149011611938;0.10000000149011611938;0.00000000000000000000;0.00000000000000000000;0.62500000000000000000;0.00000000000000000000;0.00000000000000000000;0.62500000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;4;0.0549999997;12.5000000000;8.0000000000;45.0000000000;0.4000000060;220000.0000000000;690.0000000000;3000.0000000000;2.4000000954;0.0350000001;8.0000000000;45.0000000000;0.4000000060;3000.0000000000;2.4000000954;0.4375000000;0.0160000008;5.1999998093;10000.0000000000;0.0000285199;0.0500000007;0.3330000043;2.0000000000;2.0000000000;0.3333333433;1.0000000000;0.2800000012;8.0000000000;45.0000000000;0.4000000060;3000.0000000000;2.4000000954;3.0000000000;-0.3499999940;2.0000000000;15.0000000000;0.0000000000;-1.0628256798;0.9499999881;0.0000000000;0.2500000000;0.0000000000;0.0000000000;275.6499938965;0.2000000030;22.7000007629;0.5000000000;1.0000000000;3900.0000000000;0.0058205132;0.1000000015;0.0351999998;0.6940000057;61.7000007629;0.5000000000;1.5000000000;0.1211817637;0.5971379876;10.0000000000;0.5971379876;0.1576947272;0.1576947272;0.9749494195;0.9749494195;0.7442804575;0.0627227873;0.0647229999;2.4323608875;2.4255735874;0.0001849201;0.0089480467;1.1257275343;1.0521197319;0.0096000005;2.0947000980;0.1599999964;0.6999999881;0.0247086249;2.0000000000;-1.1140580177;0.4223014116;25.4454765320;25.6388263702;1;3218.0000000000;1.8500000238;0.6999999881;1217.3759765625;-225.1618652344;0.9900000095;1.0000000000;0.3000000119;0.0000000000;1.0000000000;0.0000000000;0.0203614440;0.0002036145;0.0000203614;0.0100000007;0.0000148253;3.6809282303
2;1;0;1;0;0;0.80000001192092895508;-0.0000000000;0.94999999999999995559;0.90000000000000002220;0.10000000149011611938;0.10000000149011611938;0.10000000149011611938;0.10000000149011611938;0.10000000149011611938;0.10000000149011611938;0.10000000149011611938;0.10000000149011611938;0.00000000000000000000;0.00000000000000000000;0.65125000040978187066;0.00000000000000000000;0.00000000000000000000;0.65125000040978187066;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;3;0.0799999982;18.7500000000;8.0000000000;45.0000000000;0.4000000060;220000.0000000000;690.0000000000;3000.0000000000;2.4000000954;0.0144999996;8.0000000000;45.0000000000;0.4000000060;3000.0000000000;2.4000000954;0.2718749940;0.0160000008;9.0000000000;10000.0000000000;0.0000190132;0.1000000015;0.3330000043;1.0000000000;1.0000000000;0.1666666716;1.0000000000;0.2800000012;8.0000000000;45.0000000000;0.4000000060;3000.0000000000;2.4000000954;3.0000000000;-0.3499999940;2.0000000000;15.0000000000;0.0000000000;-1.0628256798;0.9499999881;0.0000000000;0.1000000015;0.0000000000;0.0000000000;275.6499938965;0.5299999714;16.0179424286;0.5699999928;1.0000000000;3900.0000000000;0.0041071647;0.1000000015;0.0351999998;0.6940000057;61.7000007629;0.5000000000;35.0000000000;0.1211817637;96.2577896118;10.0000000000;29.6971607208;0.4178909957;0.4178909957;0.9749494195;0.9749494195;1.9723429680;0.1662153751;0.1715159416;2.4323608875;2.4255735874;0.0004900381;5547.1899414063;1.1257275343;1.0521197319;0.0096000005;2.0947000980;0.1599999964;0.6999999881;0.0247086249;2.0000000000;-1.1140580177;0.4223014116;24.5743560791;24.7624835968;1;3218.0000000000;1.8500000238;0.6999999881;1217.3759765625;-225.1618652344;0.3106774986;1.0980000496;0.3000000119;0.0000000000;1.0000000000;18.0000000000;0.0539349616;0.0005393496;0.0000539350;0.0100000007;0.0000000001;9.7544603348
3;1;0;1;0;0;0.80000001192092895508;-0.0000000000;0.94999999999999995559;0.90000000000000002220;0.10000000149011611938;0.10000000149011611938;0.10000000149011611938;0.10000000149011611938;0.10000000149011611938;0.10000000149011611938;0.10000000149011611938;0.10000000149011611938;0.00000000000000000000;0.00000000000000000000;0.65125000040978187066;0.00000000000000000000;0.00000000000000000000;0.65125000040978187066;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;3;0.0799999982;12.5000000000;8.0000000000;45.0000000000;0.4000000060;220000.0000000000;690.0000000000;3000.0000000000;2.4000000954;0.0144999996;8.0000000000;45.0000000000;0.4000000060;3000.0000000000;2.4000000954;0.1812499911;0.0160000008;9.0000000000;10000.0000000000;0.0000190132;0.1000000015;0.3330000043;0.5000000000;0.5000000000;0.1666666716;1.0000000000;0.2800000012;8.0000000000;45.0000000000;0.4000000060;3000.0000000000;2.4000000954;3.0000000000;-0.3499999940;2.0000000000;15.0000000000;0.0000000000;-1.0628256798;0.9499999881;0.0000000000;0.1000000015;0.0000000000;0.0000000000;275.6499938965;0.7099999785;11.6448221207;0.3899999857;1.0000000000;3900.0000000000;0.0029858518;0.1000000015;0.0351999998;0.6940000057;61.7000007629;0.5000000000;35.0000000000;0.1211817637;96.2577896118;10.0000000000;31.4103794098;0.5598162413;0.5598162413;0.9749494195;0.9749494195;2.6421952248;0.2226659060;0.2297666520;2.4323608875;2.4255735874;0.0006564662;7431.1425781250;1.1257275343;1.0521197319;0.0096000005;2.0947000980;0.1599999964;0.6999999881;0.0247086249;2.0000000000;-1.1140580177;0.4223014116;49.6025009155;49.9060745239;1;3218.0000000000;1.8500000238;0.6999999881;1217.3759765625;-225.1618652344;0.3106774986;1.0980000496;0.3000000119;0.0000000000;1.0000000000;18.0000000000;0.0722324401;0.0007223245;0.0000722324;0.0100000007;0.0000000001;13.0672969818
4;1;0;1;0;0;0.80000001192092895508;-0.0000000000;0.94999999999999995559;0.90000000000000002220;0.10000000149011611938;0.10000000149011611938;0.10000000149011611938;0.10000000149011611938;0.10000000149011611938;0.10000000149011611938;0.10000000149011611938;0.10000000149011611938;0.00000000000000000000;0.00000000000000000000;0.65125000040978187066;0.00000000000000000000;0.00000000000000000000;0.65125000040978187066;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;3;0.0799999982;6.2500000000;8.0000000000;45.0000000000;0.4000000060;220000.0000000000;690.0000000000;3000.0000000000;2.4000000954;0.0144999996;8.0000000000;45.0000000000;0.4000000060;3000.0000000000;2.4000000954;0.0906249955;0.0160000008;9.0000000000;10000.0000000000;0.0000190132;0.1000000015;0.3330000043;0.3333333433;0.3333333433;0.1666666716;1.0000000000;0.2800000012;8.0000000000;45.0000000000;0.4000000060;3000.0000000000;2.4000000954;3.0000000000;-0.3499999940;2.0000000000;15.0000000000;0.0000000000;-1.0628256798;0.9499999881;0.0000000000;0.1000000015;0.0000000000;0.0000000000;275.6499938965;0.8999999762;9.6634206772;0.6100000143;1.0000000000;3900.0000000000;0.0024778002;0.1000000015;0.0351999998;0.6940000057;61.7000007629;0.5000000000;35.0000000000;0.1211817637;96.2577896118;10.0000000000;16.6725101471;0.7096262574;0.7096262574;0.9749494195;0.9749494195;3.3492617607;0.2822525501;0.2912535071;2.4323608875;2.4255735874;0.0008321403;9419.7578125000;1.1257275343;1.0521197319;0.0096000005;2.0947000980;0.1599999964;0.6999999881;0.0247086249;2.0000000000;-1.1140580177;0.4223014116;112.2281112671;112.4855804443;1;3218.0000000000;1.8500000238;0.6999999881;1217.3759765625;-225.1618652344;0.3106774986;1.0980000496;0.3000000119;0.0000000000;1.0000000000;18.0000000000;0.0915507376;0.0009155074;0.0000915507;0.0100000007;0.0000000001;16.5641784668
5;0;1;1;1;0;0.83999999999999996891;0.0000000000;0.95999999999999996447;0.95999999999999996447;0.11000000000000000056;0.11000000000000000056;0.11000000000000000056;0.11000000000000000056;0.11000000000000000056;0.11000000000000000056;0.11000000000000000056;0.11000000000000000056;0.00000000000000000000;0.00000000000000000000;0.62500000000000000000;0.00000000000000000000;0.00000000000000000000;0.62500000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;3;0.0799999982;18.2999992371;4.7136998177;45.0000000000;0.4000000060;220000.0000000000;690.0000000000;3000.0000000000;2.4000000954;0.0144999996;4.7136998177;45.0000000000;0.4000000060;3000.0000000000;2.4000000954;0.2653499842;0.0160000008;9.0000000000;10000.0000000000;0.0000285199;0.0500000007;0.3333333433;2.0000000000;2.0000000000;0.0000000000;1.0000000000;0.2800000012;4.7136998177;45.0000000000;0.4000000060;3000.0000000000;2.4000000954;3.0000000000;0.0000000000;1.0000000000;20.0000000000;0.0659999996;-0.7971192598;0.9499999881;0.0000000000;0.2500000000;0.0000000000;0.0000000000;193.1499938965;0.2000000030;22.0000000000;0.5000000000;1.0000000000;3900.0000000000;0.0056410255;0.1000000015;0.4778000116;-0.7500000000;0.0000000000;0.1500000060;0.4539099932;0.5023847222;3.9943094254;10.0000000000;3.9943094254;0.0799999982;0.0799999982;1.0000000000;1.0000000000;0.3999999762;0.0000100000;0.0000100000;1.0000000000;1.0000000000;0.0000025119;0.0000199715;2.4901540279;0.8068805933;0.0000000000;1.0000000000;0.0000000000;0.6999999881;0.0247086249;2.0000000000;-1.1140580177;0.4223014116;18.3122673035;18.3132705688;1;3218.0000000000;2.5000000000;0.6999999881;1217.3759765625;-225.1618652344;0.9900000095;1.0000000000;0.3000000119;0.0000000000;1.0000000000;0.0000000000;0.0402102917;0.0004021029;0.0000402103;0.0100000007;0.0000209420;9.1655073166
6;0;0;1;0;1;0.73499999999999998668;0.0000000000;0.96999999999999997335;0.90000000000000002220;0.11000000000000000056;0.11000000000000000056;0.11000000000000000056;0.11000000000000000056;0.11000000000000000056;0.11000000000000000056;0.11000000000000000056;0.11000000000000000056;0.00000000000000000000;0.00000000000000000000;0.62500000000000000000;0.00000000000000000000;0.00000000000000000000;0.62500000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;3;0.0799999982;11.3500003815;4.7136998177;45.0000000000;0.4000000060;220000.0000000000;690.0000000000;3000.0000000000;2.4000000954;0.0144999996;4.7136998177;45.0000000000;0.4000000060;3000.0000000000;2.4000000954;0.1645749956;0.0160000008;7.1999998093;1000.0000000000;0.0000190132;0.0500000007;0.4503000081;0.3333333433;3.9272179604;0.0000000000;0.7900000215;0.2800000012;4.7136998177;45.0000000000;0.4000000060;3000.0000000000;2.4000000954;3.0000000000;0.0000000000;1.0000000000;20.0000000000;0.0033928000;-0.7971192598;0.9499999881;0.0000000000;0.1000000015;0.0000000000;0.0000000000;193.1499938965;0.0000000000;6.0000000000;0.6100000143;0.3463000059;3900.0000000000;0.0015384615;0.1000000015;27.1399993896;-0.0388399996;1.2999999523;1.5000000000;27.1128597260;0.1904353052;77.7029876709;10.0000000000;25.9009971619;0.0240000002;0.0240000002;1.8990000486;1.8990000486;0.9510016441;0.1469999999;0.1469999999;2.2379999161;2.2379999161;0.0017962311;1250.5089111328;2.4901540279;0.8068805933;0.0276500005;1.9768999815;0.1599999964;0.6999999881;0.0247086249;2.0000000000;-1.1140580177;0.4223014116;78.0326232910;124.6847686768;0;3218.0000000000;2.5000000000;0.6999999881;1217.3759765625;-225.1618652344;0.3106774986;1.0980000496;0.3000000119;0.0000000000;0.7659999728;18.0000000000;0.0024901477;0.0000249015;0.0000024901;0.0100000007;0.0000000000;0.2346830666
7;0;0;1;0;0;0.73499999999999998668;0.0000000000;0.96999999999999997335;0.90000000000000002220;0.11000000000000000056;0.11000000000000000056;0.11000000000000000056;0.11000000000000000056;0.11000000000000000056;0.11000000000000000056;0.11000000000000000056;0.11000000000000000056;0.00000000000000000000;0.00000000000000000000;0.62500000000000000000;0.00000000000000000000;0.00000000000000000000;0.62500000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;3;0.0799999982;11.3500003815;4.7136998177;45.0000000000;0.4000000060;220000.0000000000;690.0000000000;3000.0000000000;2.4000000954;0.0144999996;4.7136998177;45.0000000000;0.4000000060;3000.0000000000;2.4000000954;0.1645749956;0.0160000008;7.1999998093;1000.0000000000;0.0000190132;0.0500000007;0.4503000081;0.3333333433;4.1178469658;0.0000000000;0.7900000215;0.2800000012;4.7136998177;45.0000000000;0.4000000060;3000.0000000000;2.4000000954;3.0000000000;0.0000000000;1.0000000000;20.0000000000;0.0043000001;-0.7971192598;0.9499999881;0.0000000000;0.1000000015;0.0000000000;0.0000000000;263.1499938965;0.0000000000;9.0000000000;0.6100000143;0.3463000059;3900.0000000000;0.0023076923;0.1000000015;27.1399993896;-0.0388399996;1.2999999523;1.5000000000;27.1128597260;0.1904353052;77.7029876709;10.0000000000;25.9009971619;0.0240000002;0.0240000002;1.8990000486;1.8990000486;0.9510016441;0.1469999999;0.1469999999;2.2379999161;2.2379999161;0.0017962311;1250.5089111328;2.4901540279;0.8068805933;0.0276500005;1.9768999815;0.1599999964;0.6999999881;0.0247086249;2.0000000000;-1.1140580177;0.4223014116;52.0217514038;106.0161056519;0;3218.0000000000;2.5000000000;0.6999999881;1217.3759765625;-225.1618652344;0.3106774986;1.0980000496;0.3000000119;0.0000000000;0.7659999728;18.0000000000;0.0024907414;0.0000249074;0.0000024907;0.0100000007;0.0000000000;0.2346830666
8;0;0;1;0;0;0.73499999999999998668;0.0000000000;0.96999999999999997335;0.90000000000000002220;0.11000000000000000056;0.11000000000000000056;0.11000000000000000056;0.11000000000000000056;0.11000000000000000056;0.11000000000000000056;0.11000000000000000056;0.11000000000000000056;0.00000000000000000000;0.00000000000000000000;0.62500000000000000000;0.00000000000000000000;0.00000000000000000000;0.62500000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;3;0.0799999982;4.5399999619;4.7136998177;45.0000000000;0.4000000060;220000.0000000000;690.0000000000;3000.0000000000;2.4000000954;0.0144999996;4.7136998177;45.0000000000;0.4000000060;3000.0000000000;2.4000000954;0.0658299997;0.0160000008;7.1999998093;1000.0000000000;0.0000190132;0.0500000007;0.4503000081;0.3333333433;3.8001320362;0.0000000000;0.7900000215;0.2800000012;4.7136998177;45.0000000000;0.4000000060;3000.0000000000;2.4000000954;3.0000000000;0.0000000000;1.0000000000;20.0000000000;0.0023568000;-0.7971192598;0.9499999881;0.0000000000;0.1000000015;0.0000000000;0.0000000000;213.1499938965;0.0000000000;10.0000000000;0.6100000143;0.3463000059;3900.0000000000;0.0025641026;0.1000000015;22.7900009155;-0.0444499999;1.2999999523;1.5000000000;22.7672119141;0.1983015537;64.0400543213;10.0000000000;21.3466854095;0.0454000011;0.0454000011;1.6828999519;1.6828999519;1.0937695503;0.1616999954;0.1616999954;2.1535999775;2.1535999775;0.0024797136;628.1369628906;2.4901540279;0.8068805933;0.0276500005;1.9768999815;0.1599999964;0.6999999881;0.0247086249;2.0000000000;-1.1140580177;0.4223014116;108.4507446289;132.0868988037;0;3218.0000000000;2.5000000000;0.6999999881;1217.3759765625;-225.1618652344;0.3106774986;1.0980000496;0.3000000119;0.0000000000;0.0010000000;18.0000000000;0.0044928668;0.0000449287;0.0000044929;0.0100000007;0.0000000001;0.6800739169
9;0;0;1;0;0;0.83999999999999996891;0.0000000000;0.94999999999999995559;0.90000000000000002220;0.11000000000000000056;0.11000000000000000056;0.11000000000000000056;0.11000000000000000056;0.11000000000000000056;0.11000000000000000056;0.11000000000000000056;0.11000000000000000056;0.00000000000000000000;0.00000000000000000000;0.62500000000000000000;0.00000000000000000000;0.00000000000000000000;0.62500000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;3;0.0799999982;20.3870754242;4.7136998177;45.0000000000;0.4000000060;220000.0000000000;690.0000000000;3000.0000000000;2.4000000954;0.0144999996;4.7136998177;45.0000000000;0.4000000060;3000.0000000000;2.4000000954;0.2956125736;0.0160000008;7.1999998093;10000.0000000000;0.0000190132;0.1000000015;0.0000000000;0.0000000000;5.7725062370;0.6243000031;0.7900000215;0.2800000012;4.7136998177;45.0000000000;0.4000000060;3000.0000000000;2.4000000954;3.0000000000;0.0000000000;1.0000000000;20.0000000000;0.0061440002;-0.7971192598;0.9499999881;0.0000000000;0.1000000015;0.0000000000;0.0000000000;193.1499938965;0.0000000000;30.0000000000;0.5699999928;1.1274000406;3900.0000000000;0.0076923077;0.1000000015;22.6798992157;-0.0653399974;1.2999999523;1.5000000000;22.6572189331;0.1355601549;43.4928016663;10.0000000000;14.4976005554;0.0129000004;0.0129000004;1.7476999760;1.7476999760;0.3607943356;0.0264800005;0.0264800005;2.9595398903;2.9595398903;0.0000357601;935.0818481445;2.4901540279;0.8068805933;0.0096000005;2.0947000980;0.1599999964;0.6999999881;0.0247086249;2.0000000000;-1.1140580177;0.4223014116;13.4641094208;17.8949623108;2;3218.0000000000;2.5000000000;0.6999999881;1217.3759765625;-225.1618652344;0.3106774986;1.0980000496;0.3000000119;0.0000000000;1.0000000000;18.0000000000;0.0004555048;0.0000045550;0.0000004555;0.0100000007;0.0000000000;0.0895049497
10;0;0;1;0;0;0.83999999999999996891;0.0000000000;0.94999999999999995559;0.90000000000000002220;0.11000000000000000056;0.11000000000000000056;0.11000000000000000056;0.11000000000000000056;0.11000000000000000056;0.11000000000000000056;0.11000000000000000056;0.11000000000000000056;0.00000000000000000000;0.00000000000000000000;0.62500000000000000000;0.00000000000000000000;0.00000000000000000000;0.62500000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;3;0.0799999982;17.4546871185;4.7136998177;45.0000000000;0.4000000060;220000.0000000000;690.0000000000;3000.0000000000;2.4000000954;0.0144999996;4.7136998177;45.0000000000;0.4000000060;3000.0000000000;2.4000000954;0.2530929446;0.0160000008;7.1999998093;10000.0000000000;0.0000190132;0.1000000015;0.0000000000;0.0000000000;5.0837001801;0.6243000031;0.7900000215;0.2800000012;4.7136998177;45.0000000000;0.4000000060;3000.0000000000;2.4000000954;3.0000000000;0.0000000000;1.0000000000;20.0000000000;0.0038079999;-0.7971192598;0.9499999881;0.0000000000;0.1000000015;0.0000000000;0.0000000000;253.1499938965;0.0000000000;24.2000007629;0.3899999857;1.1274000406;3900.0000000000;0.0062051285;0.1000000015;25.1800003052;-0.0496399999;1.2999999523;1.5000000000;25.1548213959;0.1606468260;59.3171386719;10.0000000000;19.7723808289;0.0480000004;0.0480000004;1.4550000429;1.4550000429;0.6842444539;0.1616999954;0.1616999954;2.4572000504;2.4572000504;0.0009043760;1839.6638183594;2.4901540279;0.8068805933;0.0096000005;2.0947000980;0.1599999964;0.6999999881;0.0247086249;2.0000000000;-1.1140580177;0.4223014116;19.3469314575;28.5154895782;2;3218.0000000000;2.5000000000;0.6999999881;1217.3759765625;-225.1618652344;0.3106774986;1.0980000496;0.3000000119;0.0000000000;0.3249999881;18.0000000000;0.0044894684;0.0000448947;0.0000044895;0.0100000007;0.0000000000;0.7652710676
